,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_num,Rating_Years
0,Wii Sports,Wii,2006.0,Sports,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,76.0,51.0,8,36.60701160251839,Nintendo,E,8.0,6.0
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,82.0,19.952043232122488,8.3,75.34820579278302,Nintendo,E,8.3,6.0
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,80.0,19.952043232122488,8,30.15517364572671,Nintendo,E,8.0,6.0
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,89.0,65.0,8.5,49.2197391187142,Nintendo,E,8.5,6.0
7,Wii Play,Wii,2006.0,Misc,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,58.0,41.0,6.6,26.836533923603234,Nintendo,E,6.6,6.0
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,87.0,20.635930385596325,8.4,49.2197391187142,Nintendo,E,8.4,6.0
11,Mario Kart DS,DS,2005.0,Racing,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,91.0,64.0,8.6,49.2197391187142,Nintendo,E,8.6,6.0
13,Wii Fit,Wii,2007.0,Sports,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,80.0,63.0,7.7,26.836533923603234,Nintendo,E,7.7,6.0
14,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,0.31760402010050254,0.18199396984924623,0.0015366808520359244,0.06434773869346734,0.6099587939698493,61.0,45.0,6.3,22.591541505491755,Good Science Studio,E,6.3,6.0
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,80.0,33.0,7.4,52.0,Nintendo,E,7.4,6.0
16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,97.0,50.0,8.2,24.944328587191873,Rockstar North,M,8.2,17.0
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,0.31760402010050254,0.07774716304829228,0.002538370905903362,0.06434773869346734,0.6099587939698493,95.0,20.635930385596325,9,75.34820579278302,Rockstar North,M,9.0,17.0
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,77.0,58.0,7.9,50.0,Nintendo,E,7.9,6.0
23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,0.31760402010050254,0.18199396984924623,0.005544040609250425,0.06434773869346734,0.6099587939698493,97.0,58.0,8.1,24.944328587191873,Rockstar North,M,8.1,17.0
